번호,제목,저자,출판사,출판일
46,Adaptive Sampling Algorithms for Multiple Autonomous Underwater Vehicles,"Popa, D.; Mupparapu, S.; Blidberg, R.; Chappell, S.; Komerska, R.; Sanderson, A.","IEEE,",2004
47,Autonomous Legged Underwater Vehicles for Near Land Warfare,"Greiner, H.; Shectman, A.; Won, C.; Elsley, R.",IEEE,1996
48,Mid-water current aided localization for autonomous underwater vehicles,"Medagoda, L.",Springer Science + Business Media,2016
49,Autonomous and scalable control for remote inspection with multiple aerial vehicles,"Clark, Ruaridh A.; Punzo, Giuliano; MacLeod, Charles N.; Dobie, Gordon; Summan, Rahul; Bolton, Gary; Pierce, Stephen G.; Macdonald, Malcolm","Elsevier Science B.V., Amsterdam.",2017
50,A multirobot platform based on autonomous surface and underwater vehicles with bio-inspired neurocontrollers for long-term oil spills monitoring,"Guerrero-González, A.",Springer Science + Business Media,2016
51,Distributed shape control of homogeneous swarms of autonomous underwater vehicles,"Kalantar, S.",Springer Science + Business Media,2007
52,Learning traversability models for autonomous mobile vehicles,"Shneier, M.",Springer Science + Business Media,2008
53,Cooperative bathymetry-based localization using low-cost autonomous underwater vehicles,"Tan, Y. T.",Springer Science + Business Media,2016
54,Case-Based Path Planning for Autonomous Underwater Vehicles,"Vasudevan, C.",KLUWER ACADEMIC PUBLISHERS,1996
55,Model-predictive asset guarding by team of autonomous surface vehicles in environment with civilian boats,"Raboin, E.",Springer Science + Business Media,2015
56,VerifCar: a framework for modeling and model checking communicating autonomous vehicles,"Arcile, Johan; Devillers, Raymond; Klaudel, Hanna",Springer Nature,2019
57,Frequency response method for terrain classification in autonomous ground vehicles,"DuPont, E. M.",Springer Science + Business Media,2008
58,A Simplified Dynamics Model for Autonomous Underwater Vehicles,"Nahon, M.",IEEE,1996
59,Geometric Methods for Robust Stabilization of Autonomous Underwater Vehicles,"Leonard, N. E.",IEEE,1996
60,A Side Scan Sonar System for Autonomous Underwater Vehicles,"Glynn, J. M.; Buffman, M.",IEEE,1996
61,Gradient Search with Autonomous Underwater Vehicles Using Scalar Measurements,"Burian, F.; Yoerger, D.; Bradley, A.; Singh, H.",IEEE,1996
62,A Precision Navigation System for Autonomous Undersea Vehicles,"White, D. G.; Psota, F.",IEEE,1996
63,How task analysis can be used to derive and organize the knowledge for the control of autonomous vehicles,"Barbera, T.; Albus, J.; Messina, E.; Schlenoff, C.; Horst, J.","Elsevier Science B.V., Amsterdam.",2004
64,A hierarchical approach for primitive-based motion planning and control of autonomous vehicles,"Grymin, D. J.; Neas, C. B.; Farhood, M.","Elsevier Science B.V., Amsterdam.",2014
65,Optimal routing strategies for autonomous underwater vehicles in time-varying environment,unknown,"Elsevier Science B.V., Amsterdam.",2015
66,ViPED: On-road vehicle passenger detection for autonomous vehicles,"Amanatiadis, Angelos; Karakasis, Evangelos; Bampis, Loukas; Ploumpis, Stylianos; Gasteratos, Antonios","Elsevier Science B.V., Amsterdam.",2019
67,A constrained SLAM approach to robust and accurate localisation of autonomous ground vehicles,"Lee, K. W.; Wijesoma, S.; Guzm&#x00E1;n, J. I.","Elsevier Science B.V., Amsterdam.",2007
68,Advanced planning for autonomous vehicles using reinforcement learning and deep inverse reinforcement learning,"You, Changxi; Lu, Jianbo; Filev, Dimitar; Tsiotras, Panagiotis","Elsevier Science B.V., Amsterdam.",2019
69,A high integrity navigation architecture for outdoor autonomous vehicles,"Nebot, E. M.",00,1999
70,Direction-dependent optimal path planning for autonomous vehicles,"Shum, Alex; Morris, Kirsten; Khajepour, Amir","Elsevier Science B.V., Amsterdam.",2015
71,Path planning of multiple autonomous marine vehicles for adaptive sampling using Voronoi-based ant colony optimization,"Xiong, Chengke; Chen, Danfeng; Lu, Di; Zeng, Zheng; Lian, Lian","Elsevier Science B.V., Amsterdam.",2019
72,LPV-MP planning for autonomous racing vehicles considering obstacles,"Alcalá, Eugenio; Puig, Vicenç; Quevedo, Joseba","Elsevier Science B.V., Amsterdam.",2020
73,A free floating manipulation strategy for Autonomous Underwater Vehicles,"Conti, R.; Fanelli, F.; Meli, E.; Ridolfi, A.; Costanzi, R.","Elsevier Science B.V., Amsterdam.",2017
74,Optic flow-based vision system for autonomous 3D localization and control of small aerial vehicles,"Kendoul, F.; Fantoni, I.; Nonami, K.","Elsevier Science B.V., Amsterdam.",2009
75,Self calibration of multiple LIDARs and cameras on autonomous vehicles,"Pereira, Marcelo; Silva, David; Santos, Vitor; Dias, Paulo","Elsevier Science B.V., Amsterdam.",2016
76,An optimization based Moving Horizon Estimation with application to localization of Autonomous Underwater Vehicles,"Wang, S.; Chen, L.; Gu, D.; Hu, H.","Elsevier Science B.V., Amsterdam.",2014
77,A new fuzzy robust dynamic controller for autonomous vehicles with nonholonomic constraints,"Raimondi, F. M.; Melluso, M.","Elsevier Science B.V., Amsterdam.",2005
78,Experiments on sampling/patrolling with two Autonomous Underwater Vehicles,unknown,"Elsevier Science B.V., Amsterdam.",2015
79,Multi-camera visual SLAM for autonomous navigation of micro aerial vehicles,"Yang, Shaowu; Scherer, Sebastian A.; Yi, Xiaodong; Zell, Andreas","Elsevier Science B.V., Amsterdam.",2017
80,Lateral control strategy for autonomous steering of Ackerman-like vehicles,"Sotelo, M. A.","Elsevier Science B.V., Amsterdam.",2003
81,Interaction between autonomous vehicles and road surface,"Vantsevich, Vladimir V.; Lomako, Gennady; Opeiko, Alexandre",INDERSCIENCE ENTERPRISES LTD,2003
82,Adaptive low-level control of autonomous underwater vehicles using deep reinforcement learning,"Carlucho, Ignacio; De Paula, Mariano; Wang, Sen; Petillot, Yvan; Acosta, Gerardo G.","Elsevier Science B.V., Amsterdam.",2018
83,Follow the Past: a path-tracking algorithm for autonomous vehicles,"Hellstrom, T.; Ringdahl, O.",INDERSCIENCE ENTERPRISES LTD,2006
84,Active suspension of the unmanned/autonomous multi-supported ground vehicles,"Fourounjiev, R.; Hurski, N.",INDERSCIENCE ENTERPRISES LTD,2011
85,Motion planning methods for autonomous vehicles in disordered traffic systems: a comparative analysis and future research directions,"Munigety, Caleb Ronald",INDERSCIENCE ENTERPRISES LTD,2020
86,Active suspension of the unmanned/autonomous multi-supported ground vehicles,"Fourounjiev, Reshat; Hurski, Nicolay",INDERSCIENCE ENTERPRISES LTD,2011
87,Automatic Two-Lane Path Generation for Autonomous Vehicles Using Quartic B-Spline Curves,"Suzuki, T.; Usami, R.; Maekawa, T.",IEEE,2018
88,Adaptivity-Enhanced Path Tracking System for Autonomous Vehicles at High Speeds,"Huang, Guoming; Yuan, Xiaofang; Shi, Ke; Liu, Zhixian; Wu, Xiru",IEEE,2020
89,No Blind Spots: Full-Surround Multi-Object Tracking for Autonomous Vehicles Using Cameras and LiDARs,unknown,IEEE,2019
90,Motion Planning With Velocity Prediction and Composite Nonlinear Feedback Tracking Control for Lane-Change Strategy of Autonomous Vehicles,unknown,IEEE,2020
91,Looking at the Driver/Rider in Autonomous Vehicles to Predict Take-Over Readiness,unknown,IEEE,2020
92,Prediction-based hierarchical control framework for autonomous vehicles,"Jain, V.; Weiskircher, T.",INDERSCIENCE ENTERPRISES LTD,2014
93,Using Extreme Value Theory for Vehicle Level Safety Validation and Implications for Autonomous Vehicles,"Asljung, D.; Nilsson, J.; Fredriksson, J.",IEEE,2017
94,Comparison of Path Tracking and Torque-Vectoring Controllers for Autonomous Electric Vehicles,"Chatzikomis, C.; Sorniotti, A.; Gruber, P.; Zanchetta, M.; Willans, D.; Balcombe, B.",IEEE,2018
95,Requirements-Driven Test Generation for Autonomous Vehicles With Machine Learning Components,"Tuncali, Cumhur Erkan; Fainekos, Georgios; Prokhorov, Danil; Ito, Hisahiro; Kapinski, James",IEEE,2020
96,Distributed Conflict Resolution for Connected Autonomous Vehicles,"Liu, C.; Lin, C.; Shiraishi, S.; Tomizuka, M.",IEEE,2018
97,Two-Lane Path Planning of Autonomous Vehicles in 2.5D Environments,"Usami, Riku; Kobashi, Yuji; Onuma, Taiki; Maekawa, Takashi",IEEE,2020
98,Mechatronic system for intellectual control of the interaction between road and wheels of the autonomous ground vehicles,"Fourounjiev, Reshat; Slabko, Yuli",INDERSCIENCE ENTERPRISES LTD,2011
99,The VisLab Intercontinental Autonomous Challenge: an extensive test for a platoon of intelligent vehicles,"Broggi, A.; Cerri, P.; Felisa, M.; Laghi, M.C.; Mazzei, L.; Porta, P.P.",INDERSCIENCE ENTERPRISES LTD,2012
100,Real-Time Adaptive Object Detection and Tracking for Autonomous Vehicles,"Hoffmann, Joao Eduardo; Tosso, Hilkija Gaius; Santos, Max Mauro Dias; Justo, Joao Francisco; Malik, Asad Waqar; Rahman, Anis Ur",IEEE,2021
1,Autonomous navigation and obstacle avoidance for unmanned surface vehicles [6230-09],"Larson, J.; Bruch, M.; Ebken, J.",International Society for Optical Engineering; 1999,2006
2,"Autonomous unmanned vehicles take over on land, sea and in the air","Bloss, R.",Emerald Group Publishing Limited,2013
3,Autonomous Planning and Control for Intelligent Vehicles in Traffic,"You, Changxi; Lu, Jianbo; Filev, Dimitar; Tsiotras, Panagiotis",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2020
4,Autonomous Wall-Following Based Navigation of Unmanned Aerial Vehicles in Indoor Environments (AIAA 2015-0989),"Nemati,  Alireza; Sarim,  Mohammad; Kumar,  Manish",AIAA,2015
5,Autonomous Deep-Ocean Lander Vehicles; Modular Approaches to Design and Operation,"Priede, I. G.; Addison, S.; Brasley, S.; Bagley, P.",IEEE,1997
6,Autonomous land vehicles,"Durrant-Whyte, H.",PROFESSIONAL ENGINEERING PUBLISHING,2005
7,Autonomous Control Through the Level of Fatigue Applied to the Control of Autonomous Vehicles,"Mayorga, Oscar A.; Andaluz, Víctor H.",Springer,2018
8,Autonomous Agent Architectures for Cooperating Air Vehicles,"Nygard, K. E.",ISCA,2000
9,Autonomous Under Water Vehicles,"Maier, W.",BERNARD & GRAEFE VERLAG,2000
10,A nonlinear model predictive control formulation for obstacle avoidance in high-speed autonomous ground vehicles in unstructured environments,"Liu, Jiechao; Jayakumar, Paramsothy; Stein, Jeffrey L.; Ersal, Tulga",Taylor & Francis,2018
11,Autonomous River Navigation Using the Hamilton-Jacobi Framework for Underactuated Vehicles,"Weekly, K.; Tinka, A.; Anderson, L.; Bayen, A.M.",IEEE,2014
12,Autonomous Underwater Vehicles Ease Deepwater-Field Integrity Management,unknown,SOCIETY OF PETROLEUM ENGINEERS OF AIME,2012
13,Autonomous Vehicles Scenario Testing Framework and Model of Computation: On Generation and Coverage,"Alnaser, Ala' J.; Sargolzaei, Arman; Akbas, Mustafa Ilhan",IEEE,2021
14,Autonomous Flightworthiness Determination for Modular Vertical Lift Vehicles,"Warner, J.; Rogers, J.",AMERICAN INST OF AERONAUTICS AND ASTRONAUTICS,2018
15,Autonomous Identification and Optimal Selection of Popular Smart Vehicles for Urban Sensing—An Information-Centric Approach,"Khan,  J. A.; Ghamri-Doudane,  Y.; Botvich,  D.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
16,Autonomous Maneuver Tracking for Self-Piloted Vehicles,"Boyle, D. P.",AMERICAN INST OF AERONAUTICS AND ASTRONAUTICS,1999
17,"Autonomous Vehicles and Automated Driving: Status, Perspectives and Societal Impact","Schoitsch,  Erwin",Trauner Verlag.,2016
18,Autonomous Three-Dimensional Formation Flight for a Swarm of Unmanned Aerial Vehicles,"Bennet, D.J.; McInnes, C.R.; Suzuki, M.; Uchiyama, K.",AMERICAN INST OF AERONAUTICS AND ASTRONAUTICS,2011
19,Autonomous Formation Flying of Micro Aerial Vehicles for Communication Relay Chains,"Angermann, M.; Frassl, M.; Lichtenstern, M.","Manassas, Va; Institute of Navigation",2011
20,Autonomous Shotcreting vehicles,unknown,BERTELSMANN FACHZEITSCHRIFTEN GMBH,2001
21,Autonomous Vehicle Source Enumeration Exploiting Non-Cooperative UAV in Software Defined Internet of Vehicles,"Wan, Liangtian; Sun, Lu; Liu, Kaihui; Wang, Xianpeng; Lin, Qingqing; Zhu, Tong",INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS INC,2021
22,Autonomous Lateral Control of Vehicles in an Automated Highway System,"Narendran, V. K.",SWETS & ZEITLINGER BV,1994
23,Autonomous parking control for intelligent vehicles based on a novel algorithm,"Hongbo, Gao; Guotao, Xie; Xinyu, Zhang; Bo, Cheng",ELSEVIER SCIENCE B.V. AMSTERDAM,2017
24,Autonomous Underwater Vehicles for Ocean Exploration,"Manley, J. E.",IEEE; Marine Technology Society,2003
25,Fusion of Inertial and Kinematic Navigation Systems for Autonomous Vehicles,"Necsulescu, D. S.;Kim, B.;Sasiadek, J. Z.;Green, D. N.",IEEE,1993
26,Autonomous Underwater Vehicles for Subsea Intervention,"Potter, I. J.;Reader, G. T.",University of Victoria,1995
27,Autonomous Controller Design for Unmanned Aerial Vehicles using Multi-objective Genetic Programming,"Oh, C.; Barlow, G.","New York:; IEEE,",2004
28,Autonomous Vehicles Will Upend the Trucking Ecosystem,"Giuntini,  Ron",Penton Media,2018
29,Semi-autonomous vehicles with routing flexibility – functionality and application areas,"Ujvari, Sandor; Hilmola, Olli-Pekka",Inderscience,2009
30,Autonomous Vehicles in Rural Communities: Is It Feasible?,"Prioleau, Diandra; Dames, Priya; Alikhademi, Kiana; Gilbert, Juan E.","THE IEEE, INC.",2021
31,Autonomous Takeoff and Landing Control for Small Size Unmanned Aerial Vehicles,"Dániel Stojcsics, András Molnár",SLOVAK ACADEMY OF SCIENCES,2013
32,Autonomous Vehicles Are Driving the Future of Logistics,"Meahl,  Bill",Penton Media,2017
33,Autonomous road navigation for unmanned ground vehicles [2463-27],"Speigle, S. A.;McIngvale, P.;Olson, K.;Scales, A.",SPIE,1995
34,Automated driving and autonomous functions on road vehicles,"Gordon, T.J.; Lidberg, M.",Taylor & Francis,2015
35,Autonomous platooning of multiple ground vehicles in rough terrain,"Shin, Jongho; Kwak, Dong Jun; Kim, Jun",John Wiley & Sons Ltd,2021
36,Autonomous Vehicles and Energy Impacts: A Scenario Analysis,"Ross, Catherine; Guhathakurta, Subhrajit","Elsevier Science B.V., Amsterdam",2017
37,Vehicle Brake and Indicator Detection for Autonomous Vehicles,"Sathya,  R.; Geetha,  M. Kalaiselvi; Aboorvapriya,  P.",Springer,2015
38,Autonomous Control Technology in Near Future for Small Unmanned Aerial Vehicles and Flying Robots like Birds,"Nonami, Kenzo",Japanese Society for Artificial Intelligence,2019
39,Autonomous Navigation Method for Low-Thrust Interplanetary Vehicles,"Wang, Yidi; Zheng, Wei; Sun, Shouming; Li, Li; Tan, Xianglin","American Society of Civil Engineers, Aerospace Division",2016
40,Autonomous unmanned air vehicles (UAV) techniques [6576-27],"Hsu, M.-K.; Lee, T. N.",International Society for Optical Engineering; 1999,2007
41,Autonomous Stair Climbing for Tracked Vehicles,"Mourikis, A. I.; Trawny, N.; Roumeliotis, S. I.; Helmick, D. M.; Matthies, L.",MIT PRESS - MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2007
42,Autonomous Emergency Control Algorithm for Intelligent Vehicles,"Li,  Lin; Zhu,  Xichan",UNKNOWN,2015
43,Autonomous Vehicles in Structured and Semi-Structured Environments (I),"Ozguner, U.; Redmill, K.; Ogras, U.; Dagci, O.; Launsbach, M.",IEEE; 1998,2001
44,Autonomous vehicles control in the VisLab Intercontinental Autonomous Challenge,"Broggi, A.; Medici, P.; Zani, P.; Coati, A.; Panciroli, M.","Elsevier Science B.V., Amsterdam.",2012
45,Autonomous Vehicles in the Cyberspace: Accelerating Testing via Computer Simulation,"Negrut, Dan; Serban, Radu; Elmquist, Asher; Hatch, Dylan; Nutt, Eric; Sheets, Phil",Society of Automotive Engineers,2018
46,Autonomous underwater vehicles for intelligent observation,"Kondo, H.",ROBOTICS SOCIETY OF JAPAN,2004
47,Autonomous Gas Detection and Mapping With Unmanned Aerial Vehicles,"Rossi, M.; Brunelli, D.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2016
48,Autonomous Undersea Vehicles for Monitoring Large Marine Ecosystems,"Dunn, S.",The Society,1995
49,Autonomous trajectory planning for space vehicles with a Newton–Kantorovich/convex programming approach,"Cheng, X.; Li, H.; Zhang, R.",Springer Science + Business Media,2017
50,Autonomous urban reconnaissance ingress system (AURIS): providing a tactically relevant autonomous door-opening kit for unmanned ground vehicles [8387-37],"Shane, D.J.; Rufo, M.A.; Berkemeier, M.D.; Alberts, J.A.",International Society for Optical Engineering; 1999,2012
51,Autonomous terrain-following for unmanned air vehicles,"Samar, R.; Rehman, A.","Elsevier Science B.V., Amsterdam.",2011
52,Autonomous Vehicles and Embedded Artificial Intelligence: The Challenges of Framing Machine Driving Decisions,"Cunneen, Martin; Mullins, Martin; Murphy, Finbarr",Taylor & Francis,2019
53,Autonomous vehicles and human factors/ergonomics – A challenge but not a threat,"Waterson, Patrick",Taylor & Francis,2019
54,Autonomous vehicles in the construction process,"Ibanez-Guzman, J.; Malcolm, A. A.",ARNOLD,2002
55,Autonomous landing and ingress of micro-air-vehicles in urban environments based on monocular vision (Invited Paper) [8031-36],"Brockers, R.; Bouffard, P.; Ma, J.; Matthies, L.; Tomlin, C.",International Society for Optical Engineering; 1999,2011
56,"Autonomous vehicles, new tech drive automotive test market","Earls,  Alan",A VERNER NELSON ASSOCIATES,2017
57,Autonomous Exploration of Urban Environments using Unmanned Aerial Vehicles,"Adler, B.; Xiao, J.; Zhang, J.",John Wiley & Sons,2014
58,Autonomous Self-Guided Ground Transport Vehicles for Hazardous Environmental Remediation,"Daigh, R. C.; Rice, P.",The Association,1996
59,Autonomous Control of Underground Mining Vehicles using Reactive Navigation,"Roberts, J. M.",IEEE; 1999,2000
60,Autonomous underwater vehicles powered by fuel cells: Design guidelines,"d’Amore-Domenech, Rafael; Raso, Miguel A.; Villalba-Herreros, Antonio; Santiago, Óscar; Navarro, Emilio; Leo, Teresa J.","Elsevier Science B.V., Amsterdam.",2018
61,The Autonomous Recognition of Left Behind Passengers in Parked Vehicles,"Fischer, C.; Fischer, T.; Tibken, B.",Society of Automotive Engineers,2011
62,Low-cost autonomous vehicles just GPS,"Holden, M. E.",NORTHEAST CONSORTIUM FOR ENGINEERING EDUCATION,2005
63,Cooperative Autonomous Driving Intelligent vehicles sharing city roads,"Baber, J.; Kolodko, J.; Noel, T.; Parent, M.; Vlacic, L.","THE IEEE, INC.",2005
64,Intelligent Autonomous Vehicles in digital supply chains: A framework for integrating innovations towards sustainable value networks,"Bechtsis, Dimitrios; Tsolakis, Naoum; Vlachos, Dimitrios; Srai, Jagjit Singh","Elsevier Science B.V., Amsterdam.",2018
65,Intelligent semi-autonomous vehicles in materials handling,"Moore, P. R.; Pu, J.; Lundgren, J.-O.; Ujvari, S.",Elsevier Science,1998
66,An Autonomous System for Cooperative Search and Localization Using Unmanned Vehicles,"Tisdale, J.; Kim, Z.; Hedrick, J.","Reston, Va.; American Institute of Aeronautics and Astronautics",2008
67,Immunity-based autonomous guided vehicles control,"Lau, H. Y.; Wong, V. W.; Lee, I. S.","Elsevier Science B. V., Amsterdam",2007
68,An Autonomous Real-Time Charging Strategy for Plug-In Electric Vehicles to Regulate Frequency of Distribution System With Fluctuating Wind Generation,"Xia, S.; Bu, S. Q.; Luo, X.; Chan, K. W.; Lu, X.",IEEE,2018
69,Routing Autonomous Vehicles in the Improving Initial Task Assignment and Avoiding Deadlock Method,"Morihiro, Y.; Miyamoto, T.; Kumagai, S.",Oxford University Press,2008
70,Real-Time Autonomous Guidance for Self-Piloted Vehicles,"Chamitoff, G.;Ho, L.",The Institution,1994
71,"AIRBORNE, AUTONOMOUS, AND COLLABORATIVE: Unmanned aerial vehicles can do even more when they fly in flocks","Basso, B.; Love, J.; Hedrick, J.K.",ASME AMERICAN SOCIETY OF MECHANICAL ENGINEERS,2011
72,Low-Cost Autonomous Vehicles for Urban Environments,"Chengalva, M.K.; Bletsis, R.; Moss, B.P.",Warrendale; SAE International,2008
73,"Safety Verification of Autonomous Vehicles for Coordinated Evasive Maneuvers, pp. 1078-1083","Althoff, M.; Althoff, D.; Wollherr, D.; Buss, M.",Piscataway; IEEE,2010
74,TERRAIN MAPPING FOR OFF-ROAD AUTONOMOUS GROUND VEHICLES USING RATIONAL B-SPLINE SURFACES AND STEREO VISION,"Broggi, A.; Cardarelli, E.; Cattani, S.; Sabbatelli, M.","Piscataway, NJ; Institute of Electrical and Electronic Engineers",2013
75,"Constraint-Based Planning and Control for Safe, Semi-Autonomous Operation of Vehicles","Anderson, S.; Karumanchi, S.; Iagnemma, K.","Piscataway, NJ; IEEE",2012
76,Adaptive autonomous underwater vehicles for littoral surveillance,"Kemna, S.; Hamilton, M. J.; Hughes, D. T.; LePage, K. D.",SPRINGER SCIENCE + BUSINESS MEDIA,2011
77,Intelligent semi-autonomous vehicles in materials handling,"Moore, P.;Ujvari, S.;Pu, J.;Lundgren, J.-O.",Elsevier Science,1998
78,GPS Autonomous Relative Navigation and Time Transfer for Orbiting Space Vehicles,"Cox, D. B.;Brading, J. D. W.",ION,1995
79,GPS-BIAS CORRECTION FOR PRECISE LOCALIZATION OF AUTONOMOUS VEHICLES,"Jo, K.; Chu, K.; Sunwoo, M.","Piscataway, NJ; Institute of Electrical and Electronic Engineers",2013
80,Solar-powered Autonomous Undersea Vehicles,"Blidberg, D. R.",COMPASS PUBLICATIONS INC,1997
81,ROBUST PREDICTIVE CONTROL FOR SEMI-AUTONOMOUS VEHICLES WITH AN UNCERTAIN DRIVER MODEL,"Gray, A.; Gao, Y.; Hedrick, J.; Borrelli, F.","Piscataway, NJ; Institute of Electrical and Electronic Engineers",2013
82,Intelligent autonomous vehicles in digital supply chains,"Tsolakis, Naoum; Bechtsis, Dimitrios; Srai, Jagjit Singh",Emerald Group Publishing Limited,2019
83,"An Object-Oriented Design of a World Model for Autonomous City Vehicles, pp. 1054-1059","Furda, A.; Vlacic, L.",Piscataway; IEEE,2010
84,A Communication Framework for Cognitive Autonomous Vehicles,"Nagel, R.","Red Hook, NY; Curran Associates",2009
85,"HIGHER-ORDER SLIDING MODE CONTROL FOR LATERAL DYNAMICS OF AUTONOMOUS VEHICLES, WITH EXPERIMENTAL VALIDATION","Tagne, G.; Talj, R.; Charara, A.","Piscataway, NJ; Institute of Electrical and Electronic Engineers",2013
86,High-speed autonomous navigation system for heavy vehicles,"Rodriguez-Castano, A. ; Heredia, G. ; Ollero, A.","Elsevier Science B. V., Amsterdam",2016
87,MPP1.19 Optimising Situation-Based Behaviour of Autonomous Vehicles,"Krodel, M.; Kuhnert, K.-D.","IEEE,",2004
88,MPP1.25 Velocity Planning for Autonomous Vehicles,"Bianco, C. G. L.; Piazzi, A.; Romano, M.","IEEE,",2004
89,AIAA-2002-4777 Autonomous Reconfigurable Control Allocation (ARCA) for Reusable Launch Vehicles,"Hodel, A.;Callahan, R.",AIAA,2002
90,Immunity-based Autonomous Guided Vehicles Control,"Lau, H. Y. K.; Wong, V. W. K.; Lee, I. S. K.","Amsterdam; London:; IOS Press,; Tokyo:; Ohmsha,",2003
91,Modular Autonomous Unmanned Vehicles of the IMTP,"Ageev, M. D",Marine Technology Society,1996
92,Shared Autonomous Vehicles as a Sustainable Solution to the Last Mile Problem: A Case Study of Ann Arbor-Detroit Area,"Moorthy,  Aditi; De Kleine,  Robert; Keoleian,  Gregory; Good,  Jeremy; Lewis,  Geoff",Society of Automotive Engineers,2017
93,Safety Assessment of Driving Behavior in Multi-Lane Traffic for Autonomous Vehicles,"Althoff, M.; Stursberg, O.; Buss, M.","Red Hook, NY; Curran Associates",2009
94,STEERING RATE CONTROLLER BASED ON CURVATURE OF TRAJECTORY FOR AUTONOMOUS DRIVING VEHICLES,"Bae, I.; Kim, J.; Kim, S.","Piscataway, NJ; Institute of Electrical and Electronic Engineers",2013
95,STEP AND CURB DETECTION FOR AUTONOMOUS VEHICLES WITH AN ALGEBRAIC DERIVATIVE-BASED APPROACH APPLIED ON LASER RANGEFINDER DATA,"Pollard, E.; Perez, J.; Nashashibi, F.","Piscataway, NJ; Institute of Electrical and Electronic Engineers",2013
96,Advancing Autonomous Operations for Deep Space Vehicles (AIAA 2014-1782),"Haddock, A.T.; Stetson, H.K.","Reston, Va.; American Institute of Aeronautics and Astronautics",2014
97,Planning Autonomous Vehicles in the Absence of Speed Lanes Using Lateral Potentials,"Kala, R.; Warwick, K.","Piscataway, NJ; IEEE",2012
98,From Autonomous Vehicles to Safer Cars: Selected Challenges for the Software Engineering,"Berger, C.",SPRINGER-VERLAG,2012
99,Cooperative Driving of Autonomous Vehicles Based on Precise Localization with DGPS and Inter-Vehicle Communications,"Kato, S.;Tsugawa, S.",University of Michigan,2000
100,Will autonomous vehicles change auto commuters' value of travel time?,"Zhong, Haotian; Li, Wei; Burris, Mark W.; Talebpour, Alireza; Sinha, Kumares C.","Elsevier Science B.V., Amsterdam",2020
1,Robust Tracking and Parking Control Laws for Wheeled Autonomous Vehicles,"Hamel, T.;Meizel, D.",Pergamon,1995
2,Design of a Robust High Performance Fuzzy Path Tracker for Autonomous Vehicles,"Garcia-Cerezo, A.;Ollero, A.;Martinez, J. L.",Pergamon,1995
3,A Global Road Scene Analysis System for Autonomous Vehicles,"Jurie, F.;Martinet, P.;Gallice, J.",Pergamon,1995
4,Two Sensor Based Obstacle Avoidance for Autonomous Vehicles,"Hitchings, M. R.; Engwirda, A.; Kajitani, M.; Vlacic, L. B.",Published for the International Federation of Automatic Control by Pergamon,1998
5,Path Planning by Intelligent Autonomous Robotic Vehicles with Growing World Models,"Petrov, A. A.;Sirota, I. M.",Pergamon,1995
6,Mechatronics Structure of Wall Climbing Autonomous Vehicles,"Gradetsky, V. G.;Veshnikov, V. B.;Ulyanov, S. V.",Pergamon,1995
7,Map-Based Free Navigation for Autonomous Vehicles,"Freund, E.;Dierks, F.",Pergamon,1995
8,Neural Speed Control for Autonomous Road Vehicles,"Fritz, H.",Pergamon,1995
9,Hierarchical Behavioural Control for Autonomous Vehicles,"Voudouris, C.;Chernett, P.;Wang, C. J.;Callaghan, V. L.",Pergamon,1995
10,Fuzzy ARTMAP Neural Networks (FMNN) Based Navigation for Intelligent Autonomous Vehicles (IAV) in Partially Structured Environments,"Chohra, A.",Published for the International Federation of Automatic Control by Pergamon,1998
11,Autonomous Driving with Concurrent Goals and Multiple Vehicles: Experiments and Mobility Components,"Brumitt, B.; Stentz, A.; Hebert, M.; CMU UGV Group",KLUWER ACADEMIC PUBLISHERS,2002
12,"Towards semi-autonomous operation of under-actuated underwater vehicles: sensor fusion, on-line identification and visual servo control","Karras, G. C.",Springer Science + Business Media,2011
13,Autonomous Vehicles&#x2019; Turning Motion Planning for Conflict Areas at Mixed-Flow Intersections,"Zhou, Donghao; Ma, Zian; Sun, Jian",IEEE,2020
14,Autonomous Underwater Vehicles: Hybrid Control of Mission and Motion,"Marco, D. B.",KLUWER ACADEMIC PUBLISHERS,1996
15,Computationally aware control of autonomous vehicles: a hybrid model predictive control approach,"Zhang, K.",Springer Science + Business Media,2015
16,Autonomous Driving with Concurrent Goals and Multiple Vehicles: Mission Planning and Architecture,"Brumitt, B.",KLUWER ACADEMIC PUBLISHERS,2001
17,Range-based target localization and pursuit with autonomous vehicles: An approach using posterior CRLB and model predictive control,"Hung, Nguyen T.; Crasta, N.; Moreno-Salinas, David; Pascoal, António M.; Johansen, Tor A.","Elsevier Science B.V., Amsterdam.",2020
18,Intelligence Testing for Autonomous Vehicles: A New Approach,"Li,  L.; Huang,  W.-L.; Liu,  Y.; Zheng,  N.-N.; Wang,  F.-Y.",IEEE,2016
19,Looking at Hands in Autonomous Vehicles: A ConvNet Approach Using Part Affinity Fields,"Yuen, Kevan; Trivedi, Mohan Manubhai",IEEE,2020
